City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,tralee,52.2704,-9.7026,289.29,88,75,4.63,IE,1690905350
200,georgetown,5.4112,100.3354,301.11,85,20,1.54,MY,1690905480
201,sinjar,36.3209,41.8754,310.86,12,0,4.37,IQ,1690905480
202,ozalp,38.6548,43.993,296.61,16,0,3.18,TR,1690905480
203,saipan,15.1355,145.701,300.54,100,0,2.06,MP,1690905480
204,san pedro,14.35,121.0167,299.37,96,100,3.09,PH,1690905481
205,oodweyne,9.4092,45.064,299.3,47,97,10.2,SO,1690905481
206,el obeid,13.1842,30.2167,298.0,83,98,7.12,SD,1690905481
207,raub,3.7899,101.857,299.1,94,98,0.95,MY,1690905482
208,bol,13.4586,14.7147,301.21,70,3,2.98,TD,1690905482
209,la ronge,55.1001,-105.2842,292.29,68,20,5.14,CA,1690905482
210,black river,18.0264,-77.8487,305.16,55,99,2.8,JM,1690905483
211,delmiro gouveia,-9.3886,-37.9992,300.29,54,86,4.59,BR,1690905483
212,darwin,-12.4611,130.8418,294.2,83,52,0.51,AU,1690905483
213,seeb,23.6703,58.1891,305.09,69,41,2.39,OM,1690905483
214,sitka,57.0531,-135.33,288.09,88,75,1.54,US,1690905484
215,ad dawadimi,24.5077,44.3924,313.79,9,3,5.11,SA,1690905484
216,siwa oasis,29.2041,25.5195,310.28,18,0,4.16,EG,1690905484
217,san mariano,7.5,126.0,296.06,85,99,1.27,PH,1690905485
218,yantai,37.5333,121.4,297.94,81,100,3.28,CN,1690905485
219,port lincoln,-34.7333,135.8667,285.08,81,0,4.93,AU,1690905448
220,pampa,35.5362,-100.9599,306.8,34,3,7.77,US,1690905486
221,kirakira,-10.4544,161.9205,297.38,91,91,4.41,SB,1690905486
222,vadso,70.0744,29.7487,286.64,94,75,3.09,NO,1690905486
223,hornell,42.3279,-77.6611,296.63,55,25,1.34,US,1690905405
224,pisco,-13.7,-76.2167,292.18,77,100,2.57,PE,1690905395
225,north platte,41.1239,-100.7654,299.3,80,100,4.12,US,1690905487
226,kushnarenkovo,55.105,55.3508,295.38,52,100,2.62,RU,1690905487
227,nchelenge,-9.3451,28.734,296.52,44,3,2.89,ZM,1690905488
228,haiku-pauwela,20.9219,-156.3051,297.62,76,0,6.69,US,1690905488
229,chonchi,-42.6128,-73.8092,282.66,70,99,4.07,CL,1690905488
230,dwarka,22.2394,68.9678,300.83,84,49,9.22,IN,1690905489
231,makary,12.5717,14.4666,308.25,38,3,4.03,CM,1690905489
232,mamfe,5.754,9.3123,296.64,97,99,0.66,CM,1690905489
233,kentville,45.0835,-64.4988,294.25,68,5,2.57,CA,1690905490
234,westerland,54.9079,8.3033,291.49,77,40,6.69,DE,1690905490
235,port alfred,-33.5906,26.891,287.14,76,31,3.87,ZA,1690905490
236,colonia,50.9333,6.95,295.14,63,20,8.23,DE,1690905338
237,cooper's town,26.8667,-77.5167,302.55,71,94,4.48,BS,1690905491
238,saint-joseph,-21.3667,55.6167,295.36,85,53,3.35,RE,1690905491
239,lebyazh'ye,55.2689,66.4947,293.9,62,23,3.44,RU,1690905491
240,hutchinson,38.0608,-97.9298,306.25,48,0,4.63,US,1690905457
241,val-d'or,48.1002,-77.7828,289.2,51,20,3.09,CA,1690905492
242,newman,37.3138,-121.0208,298.84,28,90,1.18,US,1690905492
243,east london,-33.0153,27.9116,288.96,63,35,3.9,ZA,1690905493
244,kununurra,-15.7667,128.7333,296.14,43,27,4.12,AU,1690905493
245,ulanhot,46.0833,122.0833,295.16,99,100,2.4,CN,1690905264
246,suncho corral,-27.9336,-63.4294,307.31,23,0,10.4,AR,1690905494
247,shinas,24.7433,56.4658,303.29,75,28,3.2,OM,1690905494
248,antsiranana,-12.2787,49.2917,298.57,53,20,5.14,MG,1690905476
249,namibe,-15.1961,12.1522,292.63,73,96,4.13,AO,1690905488
250,nantucket,41.2835,-70.0995,298.18,70,20,4.63,US,1690905249
251,concepcion del oro,24.6333,-101.4167,295.19,45,75,1.38,MX,1690905495
252,atafu village,-8.5421,-172.5159,301.54,75,43,5.91,TK,1690905495
253,hirara,24.8,125.2833,302.3,84,100,15.95,JP,1690905495
254,abalak,58.1286,68.5944,288.39,95,100,2.18,RU,1690905496
255,nemuro,43.3236,145.575,289.22,100,94,3.44,JP,1690905496
256,bay roberts,47.5999,-53.2648,294.85,75,100,2.24,CA,1690905496
257,klaksvik,62.2266,-6.589,286.66,88,93,6.57,FO,1690905497
258,murzuq,25.9155,13.9184,311.86,10,0,6.14,LY,1690905497
259,mananjary,-21.2167,48.3333,294.29,80,0,2.5,MG,1690905497
260,hithadhoo,-0.6,73.0833,301.1,72,16,2.57,MV,1690905376
261,monkey bay,-14.0728,34.9201,299.38,44,3,6.93,MW,1690905498
262,badger,64.8,-147.5333,289.16,90,20,0.0,US,1690905498
263,itoman,26.1247,127.6694,300.36,94,75,25.21,JP,1690905499
264,acapulco de juarez,16.8634,-99.8901,300.36,82,100,1.43,MX,1690905483
265,sisimiut,66.9395,-53.6735,278.35,93,100,2.16,GL,1690905499
266,pavlikeni,43.2428,25.3219,306.01,22,0,1.0,BG,1690905500
267,kivsharivka,49.6213,37.7036,297.63,62,98,5.68,UA,1690905500
268,klyuchi,52.2667,79.1667,298.41,41,69,3.05,RU,1690905501
269,namtsy,62.7161,129.6658,284.21,89,62,2.19,RU,1690905501
270,karratha,-20.7377,116.8463,295.54,77,2,2.73,AU,1690905501
271,faya-largeau,17.9257,19.1043,315.56,13,0,3.97,TD,1690905502
272,nuuk,64.1835,-51.7216,280.49,79,98,1.83,GL,1690905502
273,g'azalkent,41.5581,69.7708,302.38,26,93,2.27,UZ,1690905502
274,nishinoomote,30.7333,131.0,301.32,88,54,9.77,JP,1690905503
275,swakopmund,-22.6833,14.5333,301.62,45,0,4.47,,1690905503
276,ilhabela,-23.7781,-45.3581,296.01,68,21,1.91,BR,1690905503
277,chegdomyn,51.1167,133.0167,290.37,81,77,1.68,RU,1690905503
278,peace river,56.2501,-117.286,289.32,100,100,4.12,CA,1690905504
279,saldanha,-33.0117,17.9442,288.18,72,57,4.53,ZA,1690905504
280,salahonda,2.1019,-78.7217,300.07,77,50,2.98,CO,1690905504
281,carbonear,47.7332,-53.2148,294.9,81,100,2.15,CA,1690905467
282,kalispell,48.1958,-114.3129,296.76,37,0,1.54,US,1690905505
283,tolanaro,-25.0319,46.9987,295.19,78,40,8.23,MG,1690905506
284,castillos,-34.1667,-53.8333,295.63,65,0,4.49,UY,1690905506
285,bissora,12.2231,-15.4475,297.19,89,100,2.16,GW,1690905506
286,camayenne,9.535,-13.6878,300.2,78,75,2.06,GN,1690905507
287,khovd,48.0056,91.6419,294.44,48,34,2.05,MN,1690905507
288,verkhniy ufaley,56.0567,60.2306,291.68,89,83,1.53,RU,1690905507
289,san fernando de apure,7.8878,-67.4724,302.18,76,28,1.09,VE,1690905508
290,pechora,65.1472,57.2244,296.87,54,6,1.17,RU,1690905329
291,tura,25.5198,90.2201,297.83,93,100,3.89,IN,1690905508
292,broome,42.2506,-75.833,296.19,51,40,3.6,US,1690905509
293,roosevelt,33.9668,-103.4505,305.87,37,92,5.38,US,1690905509
294,huichapan,20.3833,-99.65,293.82,57,90,3.28,MX,1690905509
295,port saint john's,-31.6229,29.5448,289.14,69,12,3.23,ZA,1690905510
296,nowshahr,36.649,51.496,301.12,74,75,3.09,IR,1690905510
297,vilhena,-12.7406,-60.1458,304.27,42,0,2.57,BR,1690905482
298,hadibu,12.65,54.0333,299.57,74,86,8.01,YE,1690905511
299,polyarnyy,69.1989,33.4478,288.46,95,85,2.17,RU,1690905511
300,hasaki,35.7333,140.8333,297.76,91,82,5.56,JP,1690905511
301,manay,7.215,126.5397,299.15,82,100,4.12,PH,1690905512
302,sakakah,29.9697,40.2064,314.91,10,0,5.72,SA,1690905512
303,okondja,-0.6549,13.6753,307.29,32,80,1.1,GA,1690905512
304,tokmok,42.8417,75.3016,300.08,26,77,2.04,KG,1690905512
305,as sulayyil,20.4607,45.5779,317.29,9,51,2.97,SA,1690905513
306,socorro,31.6546,-106.3033,301.71,41,75,2.57,US,1690905513
307,blackfoot,43.1905,-112.345,300.22,36,96,0.48,US,1690905513
308,tazacorte,28.629,-17.9293,300.45,71,75,7.2,ES,1690905514
309,hami,42.8,93.45,302.72,22,4,1.99,CN,1690905514
310,santander,43.4647,-3.8044,297.92,78,75,4.12,ES,1690905515
311,iskateley,67.6803,53.1512,297.24,59,76,3.21,RU,1690905348
312,coahuayana de hidalgo,18.7,-103.6583,304.38,63,83,0.58,MX,1690905516
313,coquimbo,-29.9533,-71.3436,285.0,100,40,2.06,CL,1690905426
314,pangoa,-12.1167,-73.0,303.25,40,13,1.46,PE,1690905517
315,paragominas,-2.9667,-47.4833,308.29,32,0,2.77,BR,1690905517
316,pacific grove,36.6177,-121.9166,288.16,94,100,2.57,US,1690905517
317,amga,60.8953,131.9608,283.34,99,99,1.23,RU,1690905518
318,slavsk,55.0425,21.677,290.05,95,100,4.76,RU,1690905518
319,jamaame,0.0697,42.745,297.75,82,57,5.31,SO,1690905518
320,fairview,40.8126,-73.999,300.05,41,0,4.12,US,1690905518
321,arraial do cabo,-22.9661,-42.0278,298.13,57,0,4.12,BR,1690905519
322,boyolangu,-8.1181,111.8935,295.18,93,63,1.26,ID,1690905519
323,kuta,-8.7233,115.1723,299.12,88,20,3.6,ID,1690905519
324,grand baie,-20.0182,57.5802,296.41,79,14,0.45,MU,1690905520
325,aguililla,18.7333,-102.7333,296.62,85,95,1.26,MX,1690905520
326,swift current,50.2834,-107.8014,296.6,56,0,4.12,CA,1690905520
327,poronaysk,49.2167,143.1167,290.53,91,4,3.12,RU,1690905520
328,sansepolcro,43.5747,12.143,303.87,31,82,7.74,IT,1690905521
329,byron bay,-28.65,153.6167,287.43,77,50,4.69,AU,1690905808
330,aykhal,66.0,111.5,286.49,44,10,0.55,RU,1690905363
331,xichang,27.8964,102.2634,292.48,93,93,1.51,CN,1690905521
332,taoudenni,22.6783,-3.9836,322.24,4,1,5.06,ML,1690905522
333,cafayate,-26.073,-65.9761,299.98,13,0,1.93,AR,1690905522
334,korla,41.7597,86.1469,301.13,31,34,2.89,CN,1690905440
335,vilyuysk,63.7553,121.6247,284.65,58,3,2.14,RU,1690905523
336,ta`u,-14.2336,-169.5144,300.08,79,47,5.17,AS,1690905523
337,la'ie,21.6477,-157.9253,298.4,74,19,1.79,US,1690905523
338,onega,63.9061,38.1404,293.47,72,91,1.13,RU,1690905524
339,korsakov,46.6328,142.7813,294.06,95,89,4.27,RU,1690905524
340,boguchany,58.3814,97.4531,290.84,94,11,0.68,RU,1690905524
341,vila franca do campo,37.7167,-25.4333,301.59,71,43,0.97,PT,1690905524
342,sao raimundo nonato,-9.0153,-42.6994,306.09,28,0,4.11,BR,1690905525
